theTime,ClientIP,row,statement,resultBlock,resultPartitions
1788127807989588226,139954096430144,48,"INSERT INTO anchors (id, kind, arch_type, arch_module, fingerprint, root_id, src, dst, undirected, props, format_version, version, updated_at) VALUES (CAST(:id0 AS uuid), :kind0, :arch_type0, :arch_module0, :fp0, CAST(:root_id0 AS uuid), CAST(:src0 AS uuid), CAST(:dst0 AS uuid), :undirected0, CAST(:props0 AS jsonb), :fv0, :ver0, now()), (CAST(:id1 AS uuid), :kind1, :arch_type1, :arch_module1, :fp1, CAST(:root_id1 AS uuid), CAST(:src1 AS uuid), CAST(:dst1 AS uuid), :undirected1, CAST(:props1 AS jsonb), :fv1, :ver1, now()), (CAST(:id2 AS uuid), :kind2, :arch_type2, :arch_module2, :fp2, CAST(:root_id2 AS uuid), CAST(:src2 AS uuid), CAST(:dst2 AS uuid), :undirected2, CAST(:props2 AS jsonb), :fv2, :ver2, now()), (CAST(:id3 AS uuid), :kind3, :arch_type3, :arch_module3, :fp3, CAST(:root_id3 AS uuid), CAST(:src3 AS uuid), CAST(:dst3 AS uuid), :undirected3, CAST(:props3 AS jsonb), :fv3, :ver3, now()), (CAST(:id4 AS uuid), :kind4, :arch_type4, :arch_module4, :fp4, CAST(:root_id4 AS uuid), CAST(:src4 AS uuid), CAST(:dst4 AS uuid), :undirected4, CAST(:props4 AS jsonb), :fv4, :ver4, now()), (CAST(:id5 AS uuid), :kind5, :arch_type5, :arch_module5, :fp5, CAST(:root_id5 AS uuid), CAST(:src5 AS uuid), CAST(:dst5 AS uuid), :undirected5, CAST(:props5 AS jsonb), :fv5, :ver5, now()), (CAST(:id6 AS uuid), :kind6, :arch_type6, :arch_module6, :fp6, CAST(:root_id6 AS uuid), CAST(:src6 AS uuid), CAST(:dst6 AS uuid), :undirected6, CAST(:props6 AS jsonb), :fv6, :ver6, now()), (CAST(:id7 AS uuid), :kind7, :arch_type7, :arch_module7, :fp7, CAST(:root_id7 AS uuid), CAST(:src7 AS uuid), CAST(:dst7 AS uuid), :undirected7, CAST(:props7 AS jsonb), :fv7, :ver7, now()), (CAST(:id8 AS uuid), :kind8, :arch_type8, :arch_module8, :fp8, CAST(:root_id8 AS uuid), CAST(:src8 AS uuid), CAST(:dst8 AS uuid), :undirected8, CAST(:props8 AS jsonb), :fv8, :ver8, now()), (CAST(:id9 AS uuid), :kind9, :arch_type9, :arch_module9, :fp9, CAST(:root_id9 AS uuid), CAST(:src9 AS uuid), CAST(:dst9 AS uuid), :undirected9, CAST(:props9 AS jsonb), :fv9, :ver9, now()), (CAST(:id10 AS uuid), :kind10, :arch_type10, :arch_module10, :fp10, CAST(:root_id10 AS uuid), CAST(:src10 AS uuid), CAST(:dst10 AS uuid), :undirected10, CAST(:props10 AS jsonb), :fv10, :ver10, now()), (CAST(:id11 AS uuid), :kind11, :arch_type11, :arch_module11, :fp11, CAST(:root_id11 AS uuid), CAST(:src11 AS uuid), CAST(:dst11 AS uuid), :undirected11, CAST(:props11 AS jsonb), :fv11, :ver11, now()), (CAST(:id12 AS uuid), :kind12, :arch_type12, :arch_module12, :fp12, CAST(:root_id12 AS uuid), CAST(:src12 AS uuid), CAST(:dst12 AS uuid), :undirected12, CAST(:props12 AS jsonb), :fv12, :ver12, now()), (CAST(:id13 AS uuid), :kind13, :arch_type13, :arch_module13, :fp13, CAST(:root_id13 AS uuid), CAST(:src13 AS uuid), CAST(:dst13 AS uuid), :undirected13, CAST(:props13 AS jsonb), :fv13, :ver13, now()), (CAST(:id14 AS uuid), :kind14, :arch_type14, :arch_module14, :fp14, CAST(:root_id14 AS uuid), CAST(:src14 AS uuid), CAST(:dst14 AS uuid), :undirected14, CAST(:props14 AS jsonb), :fv14, :ver14, now()), (CAST(:id15 AS uuid), :kind15, :arch_type15, :arch_module15, :fp15, CAST(:root_id15 AS uuid), CAST(:src15 AS uuid), CAST(:dst15 AS uuid), :undirected15, CAST(:props15 AS jsonb), :fv15, :ver15, now()), (CAST(:id16 AS uuid), :kind16, :arch_type16, :arch_module16, :fp16, CAST(:root_id16 AS uuid), CAST(:src16 AS uuid), CAST(:dst16 AS uuid), :undirected16, CAST(:props16 AS jsonb), :fv16, :ver16, now()), (CAST(:id17 AS uuid), :kind17, :arch_type17, :arch_module17, :fp17, CAST(:root_id17 AS uuid), CAST(:src17 AS uuid), CAST(:dst17 AS uuid), :undirected17, CAST(:props17 AS jsonb), :fv17, :ver17, now()), (CAST(:id18 AS uuid), :kind18, :arch_type18, :arch_module18, :fp18, CAST(:root_id18 AS uuid), CAST(:src18 AS uuid), CAST(:dst18 AS uuid), :undirected18, CAST(:props18 AS jsonb), :fv18, :ver18, now()), (CAST(:id19 AS uuid), :kind19, :arch_type19, :arch_module19, :fp19, CAST(:root_id19 AS uuid), CAST(:src19 AS uuid), CAST(:dst19 AS uuid), :undirected19, CAST(:props19 AS jsonb), :fv19, :ver19, now()), (CAST(:id20 AS uuid), :kind20, :arch_type20, :arch_module20, :fp20, CAST(:root_id20 AS uuid), CAST(:src20 AS uuid), CAST(:dst20 AS uuid), :undirected20, CAST(:props20 AS jsonb), :fv20, :ver20, now()), (CAST(:id21 AS uuid), :kind21, :arch_type21, :arch_module21, :fp21, CAST(:root_id21 AS uuid), CAST(:src21 AS uuid), CAST(:dst21 AS uuid), :undirected21, CAST(:props21 AS jsonb), :fv21, :ver21, now()), (CAST(:id22 AS uuid), :kind22, :arch_type22, :arch_module22, :fp22, CAST(:root_id22 AS uuid), CAST(:src22 AS uuid), CAST(:dst22 AS uuid), :undirected22, CAST(:props22 AS jsonb), :fv22, :ver22, now()), (CAST(:id23 AS uuid), :kind23, :arch_type23, :arch_module23, :fp23, CAST(:root_id23 AS uuid), CAST(:src23 AS uuid), CAST(:dst23 AS uuid), :undirected23, CAST(:props23 AS jsonb), :fv23, :ver23, now()), (CAST(:id24 AS uuid), :kind24, :arch_type24, :arch_module24, :fp24, CAST(:root_id24 AS uuid), CAST(:src24 AS uuid), CAST(:dst24 AS uuid), :undirected24, CAST(:props24 AS jsonb), :fv24, :ver24, now()), (CAST(:id25 AS uuid), :kind25, :arch_type25, :arch_module25, :fp25, CAST(:root_id25 AS uuid), CAST(:src25 AS uuid), CAST(:dst25 AS uuid), :undirected25, CAST(:props25 AS jsonb), :fv25, :ver25, now()), (CAST(:id26 AS uuid), :kind26, :arch_type26, :arch_module26, :fp26, CAST(:root_id26 AS uuid), CAST(:src26 AS uuid), CAST(:dst26 AS uuid), :undirected26, CAST(:props26 AS jsonb), :fv26, :ver26, now()), (CAST(:id27 AS uuid), :kind27, :arch_type27, :arch_module27, :fp27, CAST(:root_id27 AS uuid), CAST(:src27 AS uuid), CAST(:dst27 AS uuid), :undirected27, CAST(:props27 AS jsonb), :fv27, :ver27, now()), (CAST(:id28 AS uuid), :kind28, :arch_type28, :arch_module28, :fp28, CAST(:root_id28 AS uuid), CAST(:src28 AS uuid), CAST(:dst28 AS uuid), :undirected28, CAST(:props28 AS jsonb), :fv28, :ver28, now()), (CAST(:id29 AS uuid), :kind29, :arch_type29, :arch_module29, :fp29, CAST(:root_id29 AS uuid), CAST(:src29 AS uuid), CAST(:dst29 AS uuid), :undirected29, CAST(:props29 AS jsonb), :fv29, :ver29, now()), (CAST(:id30 AS uuid), :kind30, :arch_type30, :arch_module30, :fp30, CAST(:root_id30 AS uuid), CAST(:src30 AS uuid), CAST(:dst30 AS uuid), :undirected30, CAST(:props30 AS jsonb), :fv30, :ver30, now()), (CAST(:id31 AS uuid), :kind31, :arch_type31, :arch_module31, :fp31, CAST(:root_id31 AS uuid), CAST(:src31 AS uuid), CAST(:dst31 AS uuid), :undirected31, CAST(:props31 AS jsonb), :fv31, :ver31, now()), (CAST(:id32 AS uuid), :kind32, :arch_type32, :arch_module32, :fp32, CAST(:root_id32 AS uuid), CAST(:src32 AS uuid), CAST(:dst32 AS uuid), :undirected32, CAST(:props32 AS jsonb), :fv32, :ver32, now()), (CAST(:id33 AS uuid), :kind33, :arch_type33, :arch_module33, :fp33, CAST(:root_id33 AS uuid), CAST(:src33 AS uuid), CAST(:dst33 AS uuid), :undirected33, CAST(:props33 AS jsonb), :fv33, :ver33, now()), (CAST(:id34 AS uuid), :kind34, :arch_type34, :arch_module34, :fp34, CAST(:root_id34 AS uuid), CAST(:src34 AS uuid), CAST(:dst34 AS uuid), :undirected34, CAST(:props34 AS jsonb), :fv34, :ver34, now()), (CAST(:id35 AS uuid), :kind35, :arch_type35, :arch_module35, :fp35, CAST(:root_id35 AS uuid), CAST(:src35 AS uuid), CAST(:dst35 AS uuid), :undirected35, CAST(:props35 AS jsonb), :fv35, :ver35, now()), (CAST(:id36 AS uuid), :kind36, :arch_type36, :arch_module36, :fp36, CAST(:root_id36 AS uuid), CAST(:src36 AS uuid), CAST(:dst36 AS uuid), :undirected36, CAST(:props36 AS jsonb), :fv36, :ver36, now()), (CAST(:id37 AS uuid), :kind37, :arch_type37, :arch_module37, :fp37, CAST(:root_id37 AS uuid), CAST(:src37 AS uuid), CAST(:dst37 AS uuid), :undirected37, CAST(:props37 AS jsonb), :fv37, :ver37, now()), (CAST(:id38 AS uuid), :kind38, :arch_type38, :arch_module38, :fp38, CAST(:root_id38 AS uuid), CAST(:src38 AS uuid), CAST(:dst38 AS uuid), :undirected38, CAST(:props38 AS jsonb), :fv38, :ver38, now()), (CAST(:id39 AS uuid), :kind39, :arch_type39, :arch_module39, :fp39, CAST(:root_id39 AS uuid), CAST(:src39 AS uuid), CAST(:dst39 AS uuid), :undirected39, CAST(:props39 AS jsonb), :fv39, :ver39, now()), (CAST(:id40 AS uuid), :kind40, :arch_type40, :arch_module40, :fp40, CAST(:root_id40 AS uuid), CAST(:src40 AS uuid), CAST(:dst40 AS uuid), :undirected40, CAST(:props40 AS jsonb), :fv40, :ver40, now()), (CAST(:id41 AS uuid), :kind41, :arch_type41, :arch_module41, :fp41, CAST(:root_id41 AS uuid), CAST(:src41 AS uuid), CAST(:dst41 AS uuid), :undirected41, CAST(:props41 AS jsonb), :fv41, :ver41, now()), (CAST(:id42 AS uuid), :kind42, :arch_type42, :arch_module42, :fp42, CAST(:root_id42 AS uuid), CAST(:src42 AS uuid), CAST(:dst42 AS uuid), :undirected42, CAST(:props42 AS jsonb), :fv42, :ver42, now()), (CAST(:id43 AS uuid), :kind43, :arch_type43, :arch_module43, :fp43, CAST(:root_id43 AS uuid), CAST(:src43 AS uuid), CAST(:dst43 AS uuid), :undirected43, CAST(:props43 AS jsonb), :fv43, :ver43, now()), (CAST(:id44 AS uuid), :kind44, :arch_type44, :arch_module44, :fp44, CAST(:root_id44 AS uuid), CAST(:src44 AS uuid), CAST(:dst44 AS uuid), :undirected44, CAST(:props44 AS jsonb), :fv44, :ver44, now()), (CAST(:id45 AS uuid), :kind45, :arch_type45, :arch_module45, :fp45, CAST(:root_id45 AS uuid), CAST(:src45 AS uuid), CAST(:dst45 AS uuid), :undirected45, CAST(:props45 AS jsonb), :fv45, :ver45, now()), (CAST(:id46 AS uuid), :kind46, :arch_type46, :arch_module46, :fp46, CAST(:root_id46 AS uuid), CAST(:src46 AS uuid), CAST(:dst46 AS uuid), :undirected46, CAST(:props46 AS jsonb), :fv46, :ver46, now()), (CAST(:id47 AS uuid), :kind47, :arch_type47, :arch_module47, :fp47, CAST(:root_id47 AS uuid), CAST(:src47 AS uuid), CAST(:dst47 AS uuid), :undirected47, CAST(:props47 AS jsonb), :fv47, :ver47, now()) ON CONFLICT (id) DO UPDATE SET kind = EXCLUDED.kind, arch_type = EXCLUDED.arch_type, arch_module = EXCLUDED.arch_module, fingerprint = EXCLUDED.fingerprint, root_id = EXCLUDED.root_id, src = EXCLUDED.src, dst = EXCLUDED.dst, undirected = EXCLUDED.undirected, props = EXCLUDED.props, format_version = EXCLUDED.format_version, version = EXCLUDED.version + 1, updated_at = now() WHERE anchors.version = EXCLUDED.version RETURNING id, version",[anchors_p56_b7cd923a],[p56]
1788127807995327119,139954096430144,0,"INSERT INTO graph_types (type_name, ancestor) VALUES (:t0, :a0), (:t1, :a1), (:t2, :a2) ON CONFLICT DO NOTHING",[graph_types_p40_3c3a6fca],[p40]
1788127808003466140,139954096430144,0,COMMIT,[unknown_p1_44136fa3],[p1]
1788127808008979351,139954096430144,0,DISCARD ALL,[unknown_p4_44136fa3],[p4]
1788127816094408181,130508759501888,1,SHOW server_version_num,[unknown_p59_44136fa3],[p59]
1788127816102885417,130508759501888,1,SELECT value FROM kv_state WHERE key = :k AND (expires_at IS NULL OR expires_at > now()),[kv_state_p49_82751fc8],[p49]
1788127816111012496,130508759501888,4,SELECT DISTINCT type_name FROM graph_types,[graph_types_p40_44136fa3],[p40]
1788127816114599067,130508759501888,0,BEGIN ISOLATION LEVEL SERIALIZABLE,[unknown_p38_44136fa3],[p38]
1788127816119698773,130508759501888,0,SET LOCAL lock_timeout = '10s',[unknown_p56_44136fa3],[p56]
1788127816134190579,130508759501888,1,"SELECT a.id, a.kind, a.arch_type, a.arch_module, a.fingerprint, a.root_id, a.src, a.dst, a.undirected, a.props, a.version, CASE WHEN a.kind = 'NodeAnchor' THEN (SELECT string_agg(e.id::text, ',' ORDER BY e.seq, e.id) FROM anchors e WHERE e.src = a.id OR e.dst = a.id) END FROM anchors a WHERE a.id = ANY(CAST(:ids AS uuid[]))",[anchors_p48_a2fc102e],[p48]
1788127816139954070,130508759501888,0,COMMIT,[unknown_p1_44136fa3],[p1]
1788127816175158940,130508759501888,1,SELECT 1,[unknown_p38_44136fa3],[p38]
1788127816179090667,130508759501888,0,"CREATE TABLE IF NOT EXISTS identity_users ( user_id text PRIMARY KEY, doc jsonb NOT NULL )",[unknown_p18_44136fa3],[p18]
1788127816182961471,130508759501888,0,"CREATE TABLE IF NOT EXISTS identity_lookups ( value_normalized text PRIMARY KEY, user_id text NOT NULL )",[unknown_p47_44136fa3],[p47]
1788127816186872079,130508759501888,0,"CREATE TABLE IF NOT EXISTS sso_lookups ( provider text NOT NULL, external_id text NOT NULL, user_id text NOT NULL, PRIMARY KEY (provider, external_id) )",[unknown_p10_44136fa3],[p10]
1788127816192699830,130508759501888,0,CREATE INDEX IF NOT EXISTS idx_identity_lookups_user ON identity_lookups (user_id),[unknown_p19_44136fa3],[p19]
1788127817208559926,130508759501888,1,"SELECT t.doc FROM identity_users t JOIN identity_lookups lk ON t.user_id = lk.user_id WHERE lk.value_normalized = :v AND COALESCE(t.doc->>'status', 'active') <> 'disabled'",[identity_users_p31_c37a6093],[p31]
1788127817212299494,130508759501888,1,SELECT doc FROM identity_users WHERE user_id = :u,[identity_users_p28_53f3fdaa],[p28]
1788127817220092127,130508759501888,1,"SELECT 1 FROM identity_lookups lk JOIN identity_users t ON lk.user_id = t.user_id WHERE lk.value_normalized = :v AND COALESCE(t.doc->>'status', 'active') <> 'disabled'",[identity_lookups_p52_a63d315d],[p52]
1788127817223981445,130508759501888,1,"SELECT 1 FROM identity_lookups lk JOIN identity_users t ON lk.user_id = t.user_id WHERE lk.value_normalized = :v AND COALESCE(t.doc->>'status', 'active') <> 'disabled'",[identity_lookups_p60_09012e9b],[p60]
1788127817227879038,130508759501888,0,SELECT doc FROM identity_users WHERE user_id = :u,[identity_users_p29_b4a86d0b],[p29]
1788127817231842826,130508759501888,1,"SELECT t.doc FROM identity_users t JOIN identity_lookups lk ON t.user_id = lk.user_id WHERE lk.value_normalized = :v AND COALESCE(t.doc->>'status', 'active') <> 'disabled'",[identity_users_p55_09012e9b],[p55]
1788127817235815070,130508759501888,0,"CREATE TABLE IF NOT EXISTS jac_docs (collection text NOT NULL, id text NOT NULL, doc jsonb NOT NULL, PRIMARY KEY (collection, id))",[unknown_p28_44136fa3],[p28]
1788127817616648384,130508759501888,1,SELECT doc FROM identity_users WHERE user_id = :u,[identity_users_p43_e8afe7f0],[p43]
1788127817653678024,130508759501888,0,BEGIN ISOLATION LEVEL REPEATABLE READ READ ONLY,[unknown_p47_44136fa3],[p47]
1788127817657545021,130508759501888,0,SET LOCAL lock_timeout = '10s',[unknown_p56_44136fa3],[p56]
1788127817669357185,130508759501888,1,"SELECT a.id, a.kind, a.arch_type, a.arch_module, a.fingerprint, a.root_id, a.src, a.dst, a.undirected, a.props, a.version, CASE WHEN a.kind = 'NodeAnchor' THEN (SELECT string_agg(e.id::text, ',' ORDER BY e.seq, e.id) FROM anchors e WHERE e.src = a.id OR e.dst = a.id) END FROM anchors a WHERE a.id = ANY(CAST(:ids AS uuid[]))",[anchors_p48_a2fc102e],[p48]
1788127817675199834,130508759501888,1,"SELECT a.id, a.kind, a.arch_type, a.arch_module, a.fingerprint, a.root_id, a.src, a.dst, a.undirected, a.props, a.version, CASE WHEN a.kind = 'NodeAnchor' THEN (SELECT string_agg(e.id::text, ',' ORDER BY e.seq, e.id) FROM anchors e WHERE e.src = a.id OR e.dst = a.id) END FROM anchors a WHERE a.id = ANY(CAST(:ids AS uuid[]))",[anchors_p44_5ae009af],[p44]
1788127817679018380,130508759501888,0,COMMIT,[unknown_p1_44136fa3],[p1]
1788127817686844645,130508759501888,0,BEGIN ISOLATION LEVEL SERIALIZABLE,[unknown_p38_44136fa3],[p38]
1788127817690755564,130508759501888,0,SET LOCAL lock_timeout = '10s',[unknown_p56_44136fa3],[p56]
1788127817696623800,130508759501888,1,"SELECT a.id, a.kind, a.arch_type, a.arch_module, a.fingerprint, a.root_id, a.src, a.dst, a.undirected, a.props, a.version, CASE WHEN a.kind = 'NodeAnchor' THEN (SELECT string_agg(e.id::text, ',' ORDER BY e.seq, e.id) FROM anchors e WHERE e.src = a.id OR e.dst = a.id) END FROM anchors a WHERE a.id = ANY(CAST(:ids AS uuid[]))",[anchors_p44_5ae009af],[p44]
1788127817702476468,130508759501888,1,"SELECT a.id, a.kind, a.arch_type, a.arch_module, a.fingerprint, a.root_id, a.src, a.dst, a.undirected, a.props, a.version, CASE WHEN a.kind = 'NodeAnchor' THEN (SELECT string_agg(e.id::text, ',' ORDER BY e.seq, e.id) FROM anchors e WHERE e.src = a.id OR e.dst = a.id) END FROM anchors a WHERE a.id = ANY(CAST(:ids AS uuid[]))",[anchors_p53_c451c062],[p53]
1788127817734040445,130508725941952,1,"SELECT n1.id, e1.id FROM unnest(CAST(:origin AS uuid[])) WITH ORDINALITY AS f0(id, ord) LEFT JOIN anchors s1 ON s1.id = f0.id JOIN anchors e1 ON e1.kind = 'EdgeAnchor' AND (e1.src = f0.id OR (e1.undirected AND e1.dst = f0.id)) AND (e1.arch_type = :h1et OR e1.arch_type IN (SELECT type_name FROM graph_types WHERE ancestor = :h1et)) JOIN anchors n1 ON n1.id = CASE WHEN e1.src = f0.id THEN e1.dst ELSE e1.src END AND n1.kind = 'NodeAnchor' ORDER BY f0.ord, e1.seq, e1.id",[unnest(cast(:origin_p45_0c39fd67],[p45]
1788127817739753852,130508725941952,1,"SELECT a.id, a.kind, a.arch_type, a.arch_module, a.fingerprint, a.root_id, a.src, a.dst, a.undirected, a.props, a.version, CASE WHEN a.kind = 'NodeAnchor' THEN (SELECT string_agg(e.id::text, ',' ORDER BY e.seq, e.id) FROM anchors e WHERE e.src = a.id OR e.dst = a.id) END FROM anchors a WHERE a.id = ANY(CAST(:ids AS uuid[]))",[anchors_p10_d084b7a5],[p10]
1788127817747466665,130508725941952,1,"SELECT n1.id, e1.id FROM unnest(CAST(:origin AS uuid[])) WITH ORDINALITY AS f0(id, ord) LEFT JOIN anchors s1 ON s1.id = f0.id JOIN anchors e1 ON e1.kind = 'EdgeAnchor' AND (e1.src = f0.id OR (e1.undirected AND e1.dst = f0.id)) AND (e1.arch_type = :h1et OR e1.arch_type IN (SELECT type_name FROM graph_types WHERE ancestor = :h1et)) JOIN anchors n1 ON n1.id = CASE WHEN e1.src = f0.id THEN e1.dst ELSE e1.src END AND n1.kind = 'NodeAnchor' ORDER BY f0.ord, e1.seq, e1.id",[unnest(cast(:origin_p60_34a2e603],[p60]
1788127817755250341,130508725941952,1,"SELECT a.id, a.kind, a.arch_type, a.arch_module, a.fingerprint, a.root_id, a.src, a.dst, a.undirected, a.props, a.version, CASE WHEN a.kind = 'NodeAnchor' THEN (SELECT string_agg(e.id::text, ',' ORDER BY e.seq, e.id) FROM anchors e WHERE e.src = a.id OR e.dst = a.id) END FROM anchors a WHERE a.id = ANY(CAST(:ids AS uuid[]))",[anchors_p52_5a5a904a],[p52]
1788127817761320906,130508725941952,1,"SELECT n1.id, e1.id FROM unnest(CAST(:origin AS uuid[])) WITH ORDINALITY AS f0(id, ord) LEFT JOIN anchors s1 ON s1.id = f0.id JOIN anchors e1 ON e1.kind = 'EdgeAnchor' AND (e1.src = f0.id OR (e1.undirected AND e1.dst = f0.id)) AND (e1.arch_type = :h1et OR e1.arch_type IN (SELECT type_name FROM graph_types WHERE ancestor = :h1et)) JOIN anchors n1 ON n1.id = CASE WHEN e1.src = f0.id THEN e1.dst ELSE e1.src END AND n1.kind = 'NodeAnchor' ORDER BY f0.ord, e1.seq, e1.id",[unnest(cast(:origin_p49_70bc75bd],[p49]
1788127817767225331,130508725941952,1,"SELECT a.id, a.kind, a.arch_type, a.arch_module, a.fingerprint, a.root_id, a.src, a.dst, a.undirected, a.props, a.version, CASE WHEN a.kind = 'NodeAnchor' THEN (SELECT string_agg(e.id::text, ',' ORDER BY e.seq, e.id) FROM anchors e WHERE e.src = a.id OR e.dst = a.id) END FROM anchors a WHERE a.id = ANY(CAST(:ids AS uuid[]))",[anchors_p56_db51e025],[p56]
1788127817772851534,130508725941952,1,"SELECT n1.id, e1.id FROM unnest(CAST(:origin AS uuid[])) WITH ORDINALITY AS f0(id, ord) LEFT JOIN anchors s1 ON s1.id = f0.id JOIN anchors e1 ON e1.kind = 'EdgeAnchor' AND (e1.src = f0.id OR (e1.undirected AND e1.dst = f0.id)) AND (e1.arch_type = :h1et OR e1.arch_type IN (SELECT type_name FROM graph_types WHERE ancestor = :h1et)) JOIN anchors n1 ON n1.id = CASE WHEN e1.src = f0.id THEN e1.dst ELSE e1.src END AND n1.kind = 'NodeAnchor' ORDER BY f0.ord, e1.seq, e1.id",[unnest(cast(:origin_p19_8e9b5b6f],[p19]
1788127817778806002,130508725941952,1,"SELECT a.id, a.kind, a.arch_type, a.arch_module, a.fingerprint, a.root_id, a.src, a.dst, a.undirected, a.props, a.version, CASE WHEN a.kind = 'NodeAnchor' THEN (SELECT string_agg(e.id::text, ',' ORDER BY e.seq, e.id) FROM anchors e WHERE e.src = a.id OR e.dst = a.id) END FROM anchors a WHERE a.id = ANY(CAST(:ids AS uuid[]))",[anchors_p61_21bfe192],[p61]
1788127817784506865,130508725941952,1,"SELECT n1.id, e1.id FROM unnest(CAST(:origin AS uuid[])) WITH ORDINALITY AS f0(id, ord) LEFT JOIN anchors s1 ON s1.id = f0.id JOIN anchors e1 ON e1.kind = 'EdgeAnchor' AND (e1.src = f0.id OR (e1.undirected AND e1.dst = f0.id)) AND (e1.arch_type = :h1et OR e1.arch_type IN (SELECT type_name FROM graph_types WHERE ancestor = :h1et)) JOIN anchors n1 ON n1.id = CASE WHEN e1.src = f0.id THEN e1.dst ELSE e1.src END AND n1.kind = 'NodeAnchor' ORDER BY f0.ord, e1.seq, e1.id",[unnest(cast(:origin_p61_0543535d],[p61]
1788127817788444944,130508725941952,1,"SELECT a.id, a.kind, a.arch_type, a.arch_module, a.fingerprint, a.root_id, a.src, a.dst, a.undirected, a.props, a.version, CASE WHEN a.kind = 'NodeAnchor' THEN (SELECT string_agg(e.id::text, ',' ORDER BY e.seq, e.id) FROM anchors e WHERE e.src = a.id OR e.dst = a.id) END FROM anchors a WHERE a.id = ANY(CAST(:ids AS uuid[]))",[anchors_p12_5bdc8bde],[p12]
